repo,pr_number,text,label,subcategory
vim/vim,18112,"> At the very least, this isn t the kind of code that deserves a .",Constructive Positive,Clarity & Context
vim/vim,18112,I checked the assembly code generated with .,Constructive Positive,Clarity & Context
vim/vim,18112,That s too hasty a judgment. Let s consider everything comprehensively before deciding.,Constructive Positive,Actionable Feedback
vim/vim,18112,> It saves the first result in a register and reuses the constant per string length prefix `) instead of reloading from memory.,Constructive Positive,Clarity & Context
vim/vim,18112,I asked GitHub Copilot to compare the same pieces of assembly code you provided and got the opposite conclusion.,Constructive Positive,Clarity & Context
vim/vim,18112,I feel like the cost of is being underestimated.,Constructive Positive,Clarity & Context
vim/vim,18112,Thank you for this interesting x86 micro-optimization debate.,Constructive Positive,Clarity & Context
vim/vim,18112,"that's an interesting discussion, thanks for that!",Constructive Positive,Clarity & Context
vim/vim,18112,"Memory allocation and/or branching are way more expensive than doing a simple multiplication anyway. If you want to optimize the code, it's *better* to just use the original version because it avoids a branch, at the cost of allocating an extra measly byte. Or just use a fixed allocation pool if this function is called from a tight loop.",Constructive Positive,Clarity & Context
vim/vim,18111,"ah thanks, good catch",Constructive Positive,Clarity & Context
vim/vim,18110,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18108,seems a bit too long.,Constructive Positive,Clarity & Context
vim/vim,18108,> seems a bit too long.,Constructive Positive,Clarity & Context
vim/vim,18108,on runtime/doc/develop.txt:4,Constructive Negative,Vague Feedback
vim/vim,18108,on runtime/doc/develop.txt:4,Constructive Negative,Vague Feedback
vim/vim,18108,on src/usercmd.c:52,Constructive Negative,Vague Feedback
vim/vim,18108,on src/usercmd.c:14,Constructive Negative,Vague Feedback
vim/vim,18108,on src/usercmd.c:14,Constructive Negative,Vague Feedback
vim/vim,18106,Indent is still wrong.,Constructive Negative,Vague Feedback
vim/vim,18106,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18106,on src/filepath.c:1,Constructive Negative,Vague Feedback
vim/vim,18105,"Thanks ! For the TextObject section, I d suggest trying to invert the proportions of theory vs practice if possible ; the Vimtutor is practice first.",Constructive Positive,Actionable Feedback
vim/vim,18105,"On 2025-08-25, Ph m B nh An wrote:",Constructive Positive,Clarity & Context
vim/vim,18105,"I was trying to avoid a complex description, that may not even always be correct. E.g. it does not explain why the clipboard odes not work when using Vim on a non-X11/Wayland UI. Or when ssh into a server.",Constructive Positive,Clarity & Context
vim/vim,18105,> The problems I have seen others have,Constructive Positive,Clarity & Context
vim/vim,18105,"Simply enabling X11 or Wayland in Vim isn't enough either, as using clipboard also requires X11 or Wayland to be actually running. One may run Vim on a server with no X11 or Wayland available.",Constructive Positive,Clarity & Context
vim/vim,18105,"On 2025-08-25, Christian Brabandt wrote:",Constructive Positive,Clarity & Context
vim/vim,18105,"> Note that not just Linux distributions, even the ( also has a version without X11 clipboard support.",Constructive Positive,Clarity & Context
vim/vim,18105,okay I reordered the content slightly and updated the docs on when clipboard feature is available.,Constructive Positive,Clarity & Context
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18105,on runtime/tutor/tutor2:1,Constructive Negative,Vague Feedback
vim/vim,18101,"> There was an issue with this routine: when prev_cmdpos did not change, CmdlineChanged would not react, so I fixed it.",Constructive Positive,Clarity & Context
vim/vim,18101,That's because is saved using this:,Constructive Positive,Clarity & Context
vim/vim,18101,That's right. Fixed.,Constructive Negative,Vague Feedback
vim/vim,18101,Below is the CI error you are causing.,Constructive Positive,Risk Awareness
vim/vim,18101,"Oh, thanks. I will fix it.",Constructive Positive,Clarity & Context
vim/vim,18101,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18101,on src/testdir/test_cmdline.vim:1,Constructive Negative,Vague Feedback
vim/vim,18101,on src/testdir/test_cmdline.vim:1,Constructive Negative,Vague Feedback
vim/vim,18101,on src/testdir/test_cmdline.vim:1,Constructive Negative,Vague Feedback
vim/vim,18101,on src/testdir/test_cmdline.vim:1,Constructive Negative,Vague Feedback
vim/vim,18098,packadd termdebug,Unhelpful Positive,Risk Awareness
vim/vim,18098,packadd termdebug,Unhelpful Positive,Risk Awareness
vim/vim,18098,Termdebug,Unhelpful Positive,Risk Awareness
vim/vim,18098,"Oh, that's interesting, I was not aware of it.",Constructive Positive,Clarity & Context
vim/vim,18098,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18098,"> Oh, that's interesting, I was not aware of it.",Constructive Positive,Clarity & Context
vim/vim,18097,There is a test failure on Windows in < but it has happened before in <,Constructive Positive,Clarity & Context
vim/vim,18097,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18096,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18095,"thanks. Do we need to worry about the CodeQL warning? It seems unrelated, e.g. is already happening with the current code, and probably unlikely to happen in practice?",Constructive Positive,Clarity & Context
vim/vim,18095,There are two CodeQL warnings. One at line 1220 and the other at line 1246.,Constructive Positive,Clarity & Context
vim/vim,18095,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18095,on src/bufwrite.c:1,Constructive Negative,Vague Feedback
vim/vim,18094,I strongly advise against including iso646.h.,Constructive Positive,Clarity & Context
vim/vim,18094,"Let's not do it right now. In general, I would think we should only include a header file, if we really need it.",Constructive Positive,Clarity & Context
vim/vim,18094,"Why has been included then ? It is definitely not really needed . By the same token, why allow comments, C90 comments are perfectly fine.",Constructive Positive,Clarity & Context
vim/vim,18094,was included as a test baloon to see if anybody that builds Vim stumbles about missing C99 feature set and I think we are also started using Bools now. So that's why it is needed. In contrast I don't see the necessity to include right now.,Constructive Positive,Clarity & Context
vim/vim,18094,@dlejay,Constructive Negative,Vague Feedback
vim/vim,18093,thanks for the quick fix. I was just thinking about reverting patch v9.1.1666,Constructive Positive,Clarity & Context
vim/vim,18093,"I think this may be case of the terminal writing garbage to the screen like in this case when querying for this ""Ms"" entry.",Constructive Negative,Harsh / Dismissive Tone
vim/vim,18092,Nice ! What about Python 2 ? It s been EOLed in 2020.,Constructive Positive,Constructive Tone
vim/vim,18092,should be dropped.,Constructive Negative,Vague Feedback
vim/vim,18092,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18090,"@zvezdan as a soft keyword is a recent language addition, but I think I've covered all of the compatibility cases. Unfortunately, it involves some additional matching complexity beyond what provides, but I think the result is still pretty clean and unambiguous.",Constructive Positive,Clarity & Context
vim/vim,18090,thanks all,Constructive Negative,Vague Feedback
vim/vim,18090,on runtime/syntax/python.vim:1,Constructive Negative,Vague Feedback
vim/vim,18090,on runtime/syntax/python.vim:1,Constructive Negative,Vague Feedback
vim/vim,18090,on runtime/syntax/python.vim:1,Constructive Negative,Vague Feedback
vim/vim,18090,on runtime/syntax/python.vim:1,Constructive Negative,Vague Feedback
vim/vim,18089,Without patch 8.2.1672 this sometimes fails with:,Constructive Positive,Clarity & Context
vim/vim,18089,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18088,"Tested it -- all good, thx!",Constructive Positive,Clarity & Context
vim/vim,18088,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18088,Thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18086,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18084,"thanks, especially for also adding syntax tests",Constructive Positive,Clarity & Context
vim/vim,18080,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18078,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18077,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18076,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18075,"shouldn't we remove it completely since it is included in , , and . It's not in and however.",Constructive Positive,Clarity & Context
vim/vim,18075,was pretty interesting,Constructive Negative,Vague Feedback
vim/vim,18075,"I don't mind that much and it seems has a guard against including it several times, so it does not hurt.",Constructive Positive,Clarity & Context
vim/vim,18075,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18074,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18073,on src/edit.c:14,Constructive Negative,Vague Feedback
vim/vim,18072,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18071,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18069,> 1. I question why it's even necessary to use expand with some regex instead of using but I am not sure. Maybe some can let me know!,Constructive Positive,Actionable Feedback
vim/vim,18069,"Ah, yeah that would make sense. That opens up the question of what directory Explore should really be opening when using the terminal. Maybe the cwd of the shell?",Constructive Positive,Actionable Feedback
vim/vim,18069,"> Ah, yeah that would make sense. That opens up the question of what directory Explore should really be opening when using the terminal. Maybe the cwd of the shell?",Constructive Positive,Actionable Feedback
vim/vim,18069,"Yeah, I agree. That would be pretty slick though.",Constructive Positive,Clarity & Context
vim/vim,18069,Not sure why the checks failed... probably just need a rerun?,Constructive Positive,Clarity & Context
vim/vim,18069,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18068,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18068,Thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18068,@chrisbra This PR is not merged. Please take a look.,Constructive Positive,Clarity & Context
vim/vim,18068,"Opps, sorry. I am pretty sure I cherry-picked only the last merge commit into master. Either git skipped something for whatever reason or the last merge did not include all changes.",Constructive Positive,Clarity & Context
vim/vim,18068,should be there now: c6a0f42cdb8b0d9c5beda98176caad0cf48550c2,Constructive Positive,Clarity & Context
vim/vim,18068,"No worries, thanks!",Constructive Negative,Vague Feedback
vim/vim,18067,has someone tested it?,Constructive Positive,Clarity & Context
vim/vim,18067,@girishji ?,Constructive Negative,Vague Feedback
vim/vim,18067,Seems to work on macos.,Constructive Positive,Clarity & Context
vim/vim,18067,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18067,on src/clipboard.c:251,Constructive Negative,Vague Feedback
vim/vim,18067,on src/clipboard.c:251,Constructive Negative,Vague Feedback
vim/vim,18065,"Hm,",Constructive Negative,Vague Feedback
vim/vim,18065,"Well, as M4 is old and POSIX, there are certainly _some_ people using to edit M4 files. One notable case is configuring Sendmail.",Constructive Positive,Clarity & Context
vim/vim,18065,I simplified to make the PR more obvious.,Constructive Positive,Clarity & Context
vim/vim,18065,"thanks, I include it.",Constructive Positive,Clarity & Context
vim/vim,18065,on runtime/filetype.vim:27,Constructive Negative,Vague Feedback
vim/vim,18065,on runtime/filetype.vim:27,Constructive Negative,Vague Feedback
vim/vim,18063,The name is a bit verbose. How about just setting instead?,Constructive Positive,Clarity & Context
vim/vim,18063,"it works for for me, however:",Constructive Positive,Clarity & Context
vim/vim,18063,"All good, works as expected, thank you!",Constructive Positive,Clarity & Context
vim/vim,18063,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18063,Thanks.,Constructive Negative,Vague Feedback
vim/vim,18061,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18060,> small refactoring of Make_mvc.mak files,Constructive Positive,Clarity & Context
vim/vim,18060,- the refactoring is not small,Constructive Positive,Clarity & Context
vim/vim,18060,> > small refactoring of Make_mvc.mak files,Constructive Positive,Clarity & Context
vim/vim,18060,"Can you for the future please keep similar style changes as a separate commit, e.g. one commit to change the indentation, one commit to change the casing of the keywords, one commit that introduces logic changes? This allows for easier review.",Constructive Positive,Actionable Feedback
vim/vim,18060,"Oh, Christian, these changes are somehow related. Well, yes, I had a choice between splitting it into three or four separate pull requests or making one general pull request so that the overall logic of the change would be visible and you wouldn't have to check the same files several times.",Constructive Positive,Clarity & Context
vim/vim,18060,"You don't need to create separate PRs, you can simply add several commits to the same PR, that allows to select a particular commit and just review that one.",Constructive Positive,Clarity & Context
vim/vim,18060,on src/auto/nmake/tools.mak:1,Constructive Negative,Vague Feedback
vim/vim,18060,on src/auto/nmake/tools.mak:1,Constructive Negative,Vague Feedback
vim/vim,18060,on src/auto/nmake/tools.mak:1,Constructive Negative,Vague Feedback
vim/vim,18060,on src/xxd/Make_mvc.mak:1,Constructive Negative,Vague Feedback
vim/vim,18060,on src/testdir/Make_mvc.mak:61,Constructive Negative,Vague Feedback
vim/vim,18060,on src/po/Make_mvc.mak:113,Constructive Negative,Vague Feedback
vim/vim,18060,on src/auto/nmake/tools.mak:1,Constructive Negative,Vague Feedback
vim/vim,18060,on src/po/Make_mvc.mak:113,Constructive Negative,Vague Feedback
vim/vim,18060,on src/testdir/Make_mvc.mak:61,Constructive Negative,Vague Feedback
vim/vim,18060,on src/po/Make_mvc.mak:113,Constructive Negative,Vague Feedback
vim/vim,18060,on src/po/Make_mvc.mak:113,Constructive Negative,Vague Feedback
vim/vim,18059,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18058,"I can confirm I found similar fixes & tweaks, when working on #18007",Constructive Positive,Clarity & Context
vim/vim,18058,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18057,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18056,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18055,Thanks for taking care of this! Perhaps the docs should be also updated?,Constructive Positive,Clarity & Context
vim/vim,18055,Thanks. can you please squash and update the documentation?,Constructive Positive,Actionable Feedback
vim/vim,18055,> Thanks. can you please squash and update the documentation?,Constructive Positive,Actionable Feedback
vim/vim,18055,included as of 3b3b9361257c6659abb7958 thanks!,Constructive Positive,Clarity & Context
vim/vim,18054,"@glepnir is there any chance to apply this fix also to the following detail popup window, or is this a completely separate issue?",Constructive Positive,Clarity & Context
